company_name,website,domains,location_count,locations,locations_with_counts,domain
01Networks,https://01networks.com,01networks.com,1,Industrious - Minneapolis - 60 South 6th,Industrious - Minneapolis - 60 South 6th (191),01networks.com
1021Creative,https://1021creative.com,1021creative.com,2,Industrious - Los Angeles - 6060 Center; Industrious - Los Angeles - 6060 Center Drive,Industrious - Los Angeles - 6060 Center Drive (143); Industrious - Los Angeles - 6060 Center (11),1021creative.com
103Advisory,https://103advisory.com,103advisory.com,1,Industrious - Chicago - 231 South LaSalle,Industrious - Chicago - 231 South LaSalle (355),103advisory.com
11Northpartners,https://11northpartners.com,11northpartners.com,4,Industrious - NYC - 1 Penn Plaza - 250 W 34th; Industrious - NYC - 135 W. 50th; Industrious - NYC - 215 Park; Industrious - NYC - Tower49 - 12 E 49th St,Industrious - NYC - 135 W. 50th (518); Industrious - NYC - 1 Penn Plaza - 250 W 34th (6); Industrious - NYC - Tower49 - 12 E 49th St (4); Industrious - NYC - 215 Park (2),11northpartners.com
12345,https://12345.com,12345.com,1,Industrious - NYC - 175 Greenwich,Industrious - NYC - 175 Greenwich (1),12345.com
123Traction,https://123traction.com,123traction.com,1,Industrious - Washington DC - 3100 Clarendon,Industrious - Washington DC - 3100 Clarendon (2),123traction.com
1501Ent,https://1501ent.com,1501ent.com,1,Industrious - Atlanta - 675 Ponce de Leon,Industrious - Atlanta - 675 Ponce de Leon (1),1501ent.com
1701North,https://1701north.com,1701north.com,1,Industrious - Tampa - 615 Channelside,Industrious - Tampa - 615 Channelside (51),1701north.com
17Assetmanagement,https://17assetmanagement.com,17assetmanagement.com,1,Industrious - NYC - Tower49 - 12 E 49th St,Industrious - NYC - Tower49 - 12 E 49th St (7),17assetmanagement.com
180Agency,https://180agency.com,180agency.com,1,Industrious - Tampa - 1600 E 8th,Industrious - Tampa - 1600 E 8th (39),180agency.com
1823,https://1823.partners,1823.partners,1,Industrious - NYC - 1 Penn Plaza - 250 W 34th,Industrious - NYC - 1 Penn Plaza - 250 W 34th (1),1823.partners
1823Partnerslp,https://1823partnerslp.com,1823partnerslp.com,1,Industrious - NYC - 35 Hudson,Industrious - NYC - 35 Hudson (4),1823partnerslp.com
186Ventures,https://186ventures.com,186ventures.com,2,Industrious - Boston - 131 Dartmouth; Industrious - Boston - 22 Boston Wharf,Industrious - Boston - 131 Dartmouth (72); Industrious - Boston - 22 Boston Wharf (1),186ventures.com
1Gec,https://1gec.com,1gec.com,1,Industrious - Phoenix - 4250 Drinkwater,Industrious - Phoenix - 4250 Drinkwater (384),1gec.com
1Global,https://1global.com,1global.com,2,Industrious - Austin - 98 San Jacinto; Industrious - Seattle - 2033 6th,Industrious - Austin - 98 San Jacinto (48); Industrious - Seattle - 2033 6th (4),1global.com
1O8,https://1o8.agency,1o8.agency,2,Industrious - Chicago - 231 South LaSalle; Industrious - Chicago - 233 S Wacker,Industrious - Chicago - 231 South LaSalle (17); Industrious - Chicago - 233 S Wacker (1),1o8.agency
1Stprinciples,https://1stprinciples.io,1stprinciples.io,1,Industrious - NYC - 594 Dean,Industrious - NYC - 594 Dean (8),1stprinciples.io
2,https://2.com,2.com,1,Industrious - NYC - 1 Penn Plaza - 250 W 34th,Industrious - NYC - 1 Penn Plaza - 250 W 34th (1),2.com
200Plusracing,https://200plusracing.com,200plusracing.com,1,Industrious - Phoenix - 7014 East Camelback,Industrious - Phoenix - 7014 East Camelback (19),200plusracing.com
2020 4,https://2020-4.com,2020-4.com,2,Industrious - Atlanta - 7000 Central; Industrious - NYC - 135 W. 50th,Industrious - NYC - 135 W. 50th (223); Industrious - Atlanta - 7000 Central (31),2020-4.com
26Five,https://26five.com,26five.com,1,Industrious - Coconut Grove - 3390 Mary Street,Industrious - Coconut Grove - 3390 Mary Street (1),26five.com
2Bprinc,https://2bprinc.com,2bprinc.com,1,Industrious - Los Angeles - 251 South Lake,Industrious - Los Angeles - 251 South Lake (147),2bprinc.com
2Ghealthcapital,https://2ghealthcapital.com,2ghealthcapital.com,1,Industrious - Boston - 100 Summer,Industrious - Boston - 100 Summer (6),2ghealthcapital.com
2Point0C,https://2point0c.com,2point0c.com,1,Industrious - Washington DC - 4201 Wilson,Industrious - Washington DC - 4201 Wilson (82),2point0c.com
360Dg,https://360dg.com,360dg.com,1,Industrious - Austin - 823 Congress,Industrious - Austin - 823 Congress (44),360dg.com
360Mpr,https://360mpr.com,360mpr.com,2,Industrious - NYC - 325 Hudson; Industrious - Philadelphia - 901 Market St,Industrious - Philadelphia - 901 Market St (182); Industrious - NYC - 325 Hudson (1),360mpr.com
360Neurohealth,https://360neurohealth.com,360neurohealth.com,1,Industrious - Austin - 7001 Burnet,Industrious - Austin - 7001 Burnet (27),360neurohealth.com
360Player,https://360player.com,360player.com,1,Industrious - Raleigh - 555 Fayetteville,Industrious - Raleigh - 555 Fayetteville (51),360player.com
39Alpharesearch,https://39alpharesearch.org,39alpharesearch.org,1,Industrious - Phoenix - 222 South Mill,Industrious - Phoenix - 222 South Mill (280),39alpharesearch.org
3Edgeam,https://3edgeam.com,3edgeam.com,1,Industrious - Boston - 225 Franklin,Industrious - Boston - 225 Franklin (81),3edgeam.com
3Owl,https://3owl.agency,3owl.agency,1,Industrious - Atlanta - 675 Ponce de Leon,Industrious - Atlanta - 675 Ponce de Leon (14),3owl.agency
47Ave,https://47ave.org,47ave.org,1,Industrious - Seattle - 500 108th,Industrious - Seattle - 500 108th (12),47ave.org
48Fund,https://48fund.com,48fund.com,1,Industrious - Chicago - 233 S Wacker,Industrious - Chicago - 233 S Wacker (14),48fund.com
4Castai,https://4castai.com,4castai.com,1,Industrious - NYC - 35 Hudson,Industrious - NYC - 35 Hudson (19),4castai.com
4Dbuildtech,https://4dbuildtech.com,4dbuildtech.com,1,Industrious - Tampa - 401 East Jackson,Industrious - Tampa - 401 East Jackson (30),4dbuildtech.com
50000Feet,https://50000feet.com,50000feet.com,2,Industrious - NYC - 325 Hudson; Industrious - NYC - 35 Hudson,Industrious - NYC - 35 Hudson (17); Industrious - NYC - 325 Hudson (1),50000feet.com
511West,https://511west.com,511west.com,1,Industrious - Phoenix - 222 South Mill,Industrious - Phoenix - 222 South Mill (2),511west.com
53,https://53.com,53.com,1,Industrious - Kansas City - 420 Nichols,Industrious - Kansas City - 420 Nichols (618),53.com
5Factortech,https://5factortech.com,5factortech.com,1,Industrious - Houston - 4201 Main St,Industrious - Houston - 4201 Main St (48),5factortech.com
5Techlab,https://5techlab.com,5techlab.com,1,Industrious - Plano - 7250 Dallas,Industrious - Plano - 7250 Dallas (25),5techlab.com
5To9Group,https://5to9group.com,5to9group.com,2,Industrious - Los Angeles - 1100 Glendon; Industrious - Malibu - 23465 Civic Center Way,Industrious - Los Angeles - 1100 Glendon (183); Industrious - Malibu - 23465 Civic Center Way (4),5to9group.com
62Above,https://62above.com,62above.com,1,Industrious - San Diego - 401 West A,Industrious - San Diego - 401 West A (333),62above.com
6Amcity,https://6amcity.com,6amcity.com,1,Industrious - Boston - 855 Boylston,Industrious - Boston - 855 Boylston (14),6amcity.com
7 Trails,https://7-trails.com,7-trails.com,1,Industrious - Tampa - 1600 E 8th,Industrious - Tampa - 1600 E 8th (67),7-trails.com
7Ai,https://7ai.com,7ai.com,1,Industrious - Boston - 131 Dartmouth,Industrious - Boston - 131 Dartmouth (66),7ai.com
7Epi,https://7epi.com,7epi.com,1,Industrious - NYC - 175 Greenwich,Industrious - NYC - 175 Greenwich (13),7epi.com
7Layerit,https://7layerit.com,7layerit.com,1,Industrious - Chicago - 231 South LaSalle,Industrious - Chicago - 231 South LaSalle (260),7layerit.com
7Thandgrove,https://7thandgrove.com,7thandgrove.com,1,Industrious - Tampa - 1600 E 8th,Industrious - Tampa - 1600 E 8th (30),7thandgrove.com
